Código;Descripción
V76.73;Ocupante de autobús lesionado por colisión con otros vehículos sin motor, persona que viaja fuera del vehículo, lesionada en accidente de tránsito, mientras está ocupado en otros tipos de trabajo
V76.74;Ocupante de autobús lesionado por colisión con otros vehículos sin motor, persona que viaja fuera del vehículo, lesionada en accidente de tránsito, mientras descansa, duerme, come o realiza otras actividades vitales
V76.78;Ocupante de autobús lesionado por colisión con otros vehículos sin motor, persona que viaja fuera del vehículo, lesionada en accidente de tránsito, mientras está ocupado en otras actividades específicas
V76.79;Ocupante de autobús lesionado por colisión con otros vehículos sin motor, persona que viaja fuera del vehículo, lesionada en accidente de tránsito, durante una actividad no especificada.
V76.90;Ocupante de autobús lesionado por colisión con otros vehículos sin motor, ocupante no especificado de autobús, lesionado en accidente de tránsito, mientras realiza una actividad deportiva
V76.91;Ocupante de autobús lesionado por colisión con otros vehículos sin motor, ocupante no especificado de autobús, lesionado en accidente de tránsito, mientras realiza una actividad de recreación
V76.92;Ocupante de autobús lesionado por colisión con otros vehículos sin motor, ocupante no especificado de autobús, lesionado en accidente de tránsito, mientras trabaja en forma remunerada
V76.93;Ocupante de autobús lesionado por colisión con otros vehículos sin motor, ocupante no especificado de autobús, lesionado en accidente de tránsito, mientras está ocupado en otros tipos de trabajo
V76.94;Ocupante de autobús lesionado por colisión con otros vehículos sin motor, ocupante no especificado de autobús, lesionado en accidente de tránsito, mientras descansa, duerme, come o realiza otras actividades vitales
V76.98;Ocupante de autobús lesionado por colisión con otros vehículos sin motor, ocupante no especificado de autobús, lesionado en accidente de tránsito, mientras está ocupado en otras actividades específicas
V76.99;Ocupante de autobús lesionado por colisión con otros vehículos sin motor, ocupante no especificado de autobús, lesionado en accidente de tránsito, durante una actividad no especificada.
V77.00;Ocupante de autobús lesionado por colisión con objeto fijo o estacionado, conductor lesionado en accidente no de tránsito, mientras realiza una actividad deportiva
V77.01;Ocupante de autobús lesionado por colisión con objeto fijo o estacionado, conductor lesionado en accidente no de tránsito, mientras realiza una actividad de recreación
V77.02;Ocupante de autobús lesionado por colisión con objeto fijo o estacionado, conductor lesionado en accidente no de tránsito, mientras trabaja en forma remunerada
V77.03;Ocupante de autobús lesionado por colisión con objeto fijo o estacionado, conductor lesionado en accidente no de tránsito, mientras está ocupado en otros tipos de trabajo
V77.04;Ocupante de autobús lesionado por colisión con objeto fijo o estacionado, conductor lesionado en accidente no de tránsito, mientras descansa, duerme, come o realiza otras actividades vitales
V77.08;Ocupante de autobús lesionado por colisión con objeto fijo o estacionado, conductor lesionado en accidente no de tránsito, mientras está ocupado en otras actividades específicas
V77.09;Ocupante de autobús lesionado por colisión con objeto fijo o estacionado, conductor lesionado en accidente no de tránsito, durante una actividad no especificada.
V77.10;Ocupante de autobús lesionado por colisión con objeto fijo o estacionado, pasajero lesionado en accidente no de tránsito, mientras realiza una actividad deportiva
V77.11;Ocupante de autobús lesionado por colisión con objeto fijo o estacionado, pasajero lesionado en accidente no de tránsito, mientras realiza una actividad de recreación
V77.12;Ocupante de autobús lesionado por colisión con objeto fijo o estacionado, pasajero lesionado en accidente no de tránsito, mientras trabaja en forma remunerada
V77.13;Ocupante de autobús lesionado por colisión con objeto fijo o estacionado, pasajero lesionado en accidente no de tránsito, mientras está ocupado en otros tipos de trabajo
V77.14;Ocupante de autobús lesionado por colisión con objeto fijo o estacionado, pasajero lesionado en accidente no de tránsito, mientras descansa, duerme, come o realiza otras actividades vitales
V77.18;Ocupante de autobús lesionado por colisión con objeto fijo o estacionado, pasajero lesionado en accidente no de tránsito, mientras está ocupado en otras actividades específicas
V77.19;Ocupante de autobús lesionado por colisión con objeto fijo o estacionado, pasajero lesionado en accidente no de tránsito, durante una actividad no especificada.
V77.20;Ocupante de autobús lesionado por colisión con objeto fijo o estacionado, persona que viaja fuera del vehículo, lesionada en accidente no de tránsito, mientras realiza una actividad deportiva
V77.21;Ocupante de autobús lesionado por colisión con objeto fijo o estacionado, persona que viaja fuera del vehículo, lesionada en accidente no de tránsito, mientras realiza una actividad de recreación
V77.22;Ocupante de autobús lesionado por colisión con objeto fijo o estacionado, persona que viaja fuera del vehículo, lesionada en accidente no de tránsito, mientras trabaja en forma remunerada
V77.23;Ocupante de autobús lesionado por colisión con objeto fijo o estacionado, persona que viaja fuera del vehículo, lesionada en accidente no de tránsito, mientras está ocupado en otros tipos de trabajo
V77.24;Ocupante de autobús lesionado por colisión con objeto fijo o estacionado, persona que viaja fuera del vehículo, lesionada en accidente no de tránsito, mientras descansa, duerme, come o realiza otras actividades vitales
V77.28;Ocupante de autobús lesionado por colisión con objeto fijo o estacionado, persona que viaja fuera del vehículo, lesionada en accidente no de tránsito, mientras está ocupado en otras actividades específicas
V77.29;Ocupante de autobús lesionado por colisión con objeto fijo o estacionado, persona que viaja fuera del vehículo, lesionada en accidente no de tránsito, durante una actividad no especificada.
V77.30;Ocupante de autobús lesionado por colisión con objeto fijo o estacionado, ocupante no especificado de autobús, lesionado en accidente no de tránsito, mientras realiza una actividad deportiva
V77.31;Ocupante de autobús lesionado por colisión con objeto fijo o estacionado, ocupante no especificado de autobús, lesionado en accidente no de tránsito, mientras realiza una actividad de recreación
V77.32;Ocupante de autobús lesionado por colisión con objeto fijo o estacionado, ocupante no especificado de autobús, lesionado en accidente no de tránsito, mientras trabaja en forma remunerada
V77.33;Ocupante de autobús lesionado por colisión con objeto fijo o estacionado, ocupante no especificado de autobús, lesionado en accidente no de tránsito, mientras está ocupado en otros tipos de trabajo
V77.34;Ocupante de autobús lesionado por colisión con objeto fijo o estacionado, ocupante no especificado de autobús, lesionado en accidente no de tránsito, mientras descansa, duerme, come o realiza otras actividades vitales
V77.38;Ocupante de autobús lesionado por colisión con objeto fijo o estacionado, ocupante no especificado de autobús, lesionado en accidente no de tránsito, mientras está ocupado en otras actividades específicas
V77.39;Ocupante de autobús lesionado por colisión con objeto fijo o estacionado, ocupante no especificado de autobús, lesionado en accidente no de tránsito, durante una actividad no especificada.
V77.40;Ocupante de autobús lesionado por colisión con objeto fijo o estacionado, persona lesionada al subir o bajar del vehículo, mientras realiza una actividad deportiva
V77.41;Ocupante de autobús lesionado por colisión con objeto fijo o estacionado, persona lesionada al subir o bajar del vehículo, mientras realiza una actividad de recreación
V77.42;Ocupante de autobús lesionado por colisión con objeto fijo o estacionado, persona lesionada al subir o bajar del vehículo, mientras trabaja en forma remunerada
V77.43;Ocupante de autobús lesionado por colisión con objeto fijo o estacionado, persona lesionada al subir o bajar del vehículo, mientras está ocupado en otros tipos de trabajo
V77.44;Ocupante de autobús lesionado por colisión con objeto fijo o estacionado, persona lesionada al subir o bajar del vehículo, mientras descansa, duerme, come o realiza otras actividades vitales
